#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE376F
#Date Time: 2020-07-29 17:11:36.258
#Sample rate: 961538Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 550 mV Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 20 mV
#Offset: -30 mV
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -5 V

Time (s),Channel 2 (V)
0.003046298666666667,0.7665192033020389
0.003047338666666667,0.7702102396129582
0.003048378666666667,0.7742368246794156
0.003049418666666667,0.778598958501411
0.003050458666666667,0.7822899948123303
0.003051498666666667,0.7856454823677113
0.003052538666666667,0.7913498112118593
0.003053578666666667,0.7950408475227784
0.003054618666666667,0.7983963350781595
0.003055658666666667,0.8017518226335407
0.003056698666666667,0.8061139564555362
0.003057738666666667,0.8101405415219936
0.003058778666666667,0.8131604803218364
0.003059818666666667,0.8171870653882938
0.003060858666666667,0.820542552943675
0.003061898666666667,0.8242335892545942
0.003062938666666667,0.8272535280544373
0.003063978666666667,0.8312801131208947
0.003065018666666667,0.8349711494318137
0.003066058666666667,0.8396688320093473
0.003067098666666667,0.8420176732981142
0.003068138666666667,0.8463798071201096
0.003069178666666667,0.8507419409421051
0.003070218666666667,0.8537618797419482
0.003071258666666667,0.856781818541791
0.003072298666666667,0.8604728548527103
0.003073338666666667,0.8638283424080915
0.003074378666666667,0.8678549274745488
0.003075418666666667,0.8691971224967012
0.003076458666666667,0.8728881588076205
0.003077498666666667,0.8765791951185398
0.003078538666666667,0.8789280364073064
0.003079578666666667,0.8826190727182257
0.003080618666666667,0.886310109029145
0.003081658666666667,0.8889944990734497
0.003082698666666667,0.8913433403622166
0.003083738666666667,0.8943632791620597
0.003084778666666667,0.8973832179619026
0.003085818666666667,0.9007387055172837
0.003086858666666667,0.9030875468060506
0.003087898666666667,0.9054363880948173
0.003088938666666667,0.9084563268946604
0.003089978666666667,0.9114762656945032
0.003091018666666667,0.9138251069832701
0.003092058666666667,0.9165094970275751
0.003093098666666667,0.9202005333384942
0.003094138666666667,0.9215427283606468
0.003095178666666667,0.9238915696494134
0.003096218666666667,0.9269115084492565
0.003097258666666667,0.9289248009824851
0.003098298666666667,0.931273642271252
0.003099338666666667,0.9326158372934044
0.003100378666666667,0.9349646785821712
0.003101418666666667,0.9383201661375522
0.003102458666666667,0.940333458670781
0.003103498666666667,0.943017848715086
0.003104538666666667,0.9443600437372384
0.003105578666666667,0.9470444337815431
0.003106618666666667,0.9483866288036957
0.003107658666666667,0.94939327507031
0.003108698666666667,0.9517421163590769
0.003109738666666667,0.9540909576478436
0.003110778666666667,0.9561042501810721
0.003111818666666667,0.9581175427143009
0.003112858666666667,0.9608019327586059
0.003113898666666667,0.9621441277807583
0.003114938666666667,0.9634863228029107
0.003115978666666667,0.9658351640916776
0.003117018666666667,0.9668418103582919
0.003118058666666667,0.9691906516470585
0.003119098666666667,0.9698617491581349
0.003120138666666667,0.9715394929358254
0.003121178666666667,0.9728816879579778
0.003122218666666667,0.9738883342245921
0.003123258666666667,0.9755660780022828
0.003124298666666667,0.9769082730244352
0.003125338666666667,0.9782504680465876
0.003126378666666667,0.9799282118242783
0.003127418666666667,0.9816059556019687
0.003128458666666667,0.982612601868583
0.003129498666666667,0.9832836993796594
0.003130538666666667,0.9842903456462737
0.003131578666666667,0.9849614431573499
0.003132618666666667,0.9863036381795023
0.003133658666666667,0.9876458332016549
0.003134698666666667,0.9883169307127311
0.003135738666666667,0.9896591257348835
0.003136778666666667,0.9906657720014977
0.003137818666666667,0.9910013207570358
0.003138858666666667,0.991672418268112
0.003139898666666667,0.9923435157791884
0.003140938666666667,0.9926790645347265
0.003141978666666667,0.9933501620458027
0.003143018666666667,0.9946923570679551
0.003144058666666667,0.994356808312417
